lago,fecha,nubosidad_pct,satelite,cobertura_valida_pct,nota
amatitlan,2025-01-28,0.06,Sentinel-2B,,
amatitlan,2025-04-15,0.09,Sentinel-2A,,
amatitlan,2025-04-28,1.03,Sentinel-2B,,
amatitlan,2025-11-24,0.50,Sentinel-2B,,
amatitlan,2026-01-08,0.77,Sentinel-2C,,
amatitlan,2026-02-02,0.39,Sentinel-2B,,
amatitlan,2026-02-07,0.02,Sentinel-2C,57.1,Cobertura válida parcial según la guía
amatitlan,2026-03-29,0.01,Sentinel-2C,,
amatitlan,2026-04-13,0.09,Sentinel-2B,,
amatitlan,2026-04-28,4.96,Sentinel-2C,,
amatitlan,2026-06-19,13.00,Sentinel-2A,,
atitlan,2025-01-18,0.02,Sentinel-2B,,
atitlan,2025-04-13,0.54,Sentinel-2C,,
atitlan,2025-05-13,4.37,Sentinel-2C,,
atitlan,2025-07-17,3.57,Sentinel-2A,,
atitlan,2025-11-21,3.15,Sentinel-2A,,
atitlan,2025-12-29,3.17,Sentinel-2C,,
atitlan,2026-02-12,0.04,Sentinel-2B,,
atitlan,2026-03-24,3.17,Sentinel-2B,,
atitlan,2026-04-13,0.01,Sentinel-2B,,
atitlan,2026-04-28,4.96,Sentinel-2C,,
atitlan,2026-07-22,4.02,Sentinel-2B,,
