lago,bloque_1km,bloque_x,bloque_y,observaciones,altas,alta_pct
amatitlan,amatitlan_757_1601,757,1601,36,19,52.77777777777778
amatitlan,amatitlan_757_1602,757,1602,1568,735,46.875
amatitlan,amatitlan_757_1603,757,1603,1378,678,49.20174165457184
amatitlan,amatitlan_758_1601,758,1601,2549,1137,44.6057277363672
amatitlan,amatitlan_758_1602,758,1602,6475,2866,44.262548262548265
amatitlan,amatitlan_758_1603,758,1603,435,183,42.06896551724138
amatitlan,amatitlan_759_1600,759,1600,43,14,32.55813953488372
amatitlan,amatitlan_759_1601,759,1601,2622,1237,47.17772692601068
amatitlan,amatitlan_759_1602,759,1602,4870,2141,43.96303901437371
amatitlan,amatitlan_760_1600,760,1600,4730,2128,44.989429175475685
amatitlan,amatitlan_760_1601,760,1601,7920,3655,46.148989898989896
amatitlan,amatitlan_760_1602,760,1602,3557,1508,42.395276918751755
amatitlan,amatitlan_761_1599,761,1599,1849,579,31.314223904813414
amatitlan,amatitlan_761_1600,761,1600,6135,2516,41.01059494702527
amatitlan,amatitlan_761_1601,761,1601,4272,1405,32.88857677902622
amatitlan,amatitlan_761_1602,761,1602,3749,1181,31.50173379567885
amatitlan,amatitlan_761_1603,761,1603,479,185,38.62212943632568
amatitlan,amatitlan_762_1598,762,1598,2120,727,34.29245283018868
amatitlan,amatitlan_762_1599,762,1599,3229,1067,33.044286156704864
amatitlan,amatitlan_762_1600,762,1600,1889,625,33.08628904182107
amatitlan,amatitlan_762_1601,762,1601,207,63,30.434782608695652
amatitlan,amatitlan_762_1602,762,1602,307,146,47.557003257328994
amatitlan,amatitlan_762_1603,762,1603,2,2,100.0
amatitlan,amatitlan_763_1596,763,1596,1269,647,50.98502758077226
amatitlan,amatitlan_763_1597,763,1597,5029,2405,47.82262875323126
amatitlan,amatitlan_763_1598,763,1598,6702,2491,37.168009549388245
amatitlan,amatitlan_763_1599,763,1599,547,140,25.59414990859232
amatitlan,amatitlan_764_1595,764,1595,365,133,36.43835616438356
amatitlan,amatitlan_764_1596,764,1596,7306,3432,46.97508896797153
amatitlan,amatitlan_764_1597,764,1597,8003,3783,47.26977383481194
amatitlan,amatitlan_764_1598,764,1598,3674,1430,38.92215568862275
amatitlan,amatitlan_765_1595,765,1595,1020,373,36.568627450980394
amatitlan,amatitlan_765_1596,765,1596,5018,2437,48.56516540454364
amatitlan,amatitlan_765_1597,765,1597,5465,2634,48.19762122598353
amatitlan,amatitlan_765_1598,765,1598,4325,1928,44.578034682080926
amatitlan,amatitlan_766_1598,766,1598,856,290,33.87850467289719
atitlan,atitlan_684_1625,684,1625,99,14,14.141414141414142
atitlan,atitlan_684_1626,684,1626,283,6,2.1201413427561837
atitlan,atitlan_684_1627,684,1627,14,2,14.285714285714286
atitlan,atitlan_685_1625,685,1625,450,54,12.0
atitlan,atitlan_685_1626,685,1626,851,5,0.5875440658049353
atitlan,atitlan_685_1627,685,1627,220,1,0.45454545454545453
atitlan,atitlan_686_1624,686,1624,53,6,11.320754716981131
atitlan,atitlan_686_1625,686,1625,712,48,6.741573033707865
atitlan,atitlan_686_1626,686,1626,1032,2,0.1937984496124031
atitlan,atitlan_686_1627,686,1627,701,0,0.0
atitlan,atitlan_686_1628,686,1628,111,0,0.0
atitlan,atitlan_687_1617,687,1617,3,0,0.0
atitlan,atitlan_687_1623,687,1623,38,2,5.2631578947368425
atitlan,atitlan_687_1624,687,1624,591,61,10.321489001692047
atitlan,atitlan_687_1625,687,1625,1039,69,6.641000962463908
atitlan,atitlan_687_1626,687,1626,1098,0,0.0
atitlan,atitlan_687_1627,687,1627,894,0,0.0
atitlan,atitlan_687_1628,687,1628,219,1,0.45662100456621
atitlan,atitlan_688_1616,688,1616,325,0,0.0
atitlan,atitlan_688_1617,688,1617,638,0,0.0
atitlan,atitlan_688_1618,688,1618,296,1,0.33783783783783783
atitlan,atitlan_688_1623,688,1623,377,4,1.0610079575596818
atitlan,atitlan_688_1624,688,1624,961,0,0.0
atitlan,atitlan_688_1625,688,1625,1102,0,0.0
atitlan,atitlan_688_1626,688,1626,1030,0,0.0
atitlan,atitlan_688_1627,688,1627,905,0,0.0
atitlan,atitlan_688_1628,688,1628,250,2,0.8
atitlan,atitlan_689_1616,689,1616,1,0,0.0
atitlan,atitlan_689_1617,689,1617,350,0,0.0
atitlan,atitlan_689_1618,689,1618,696,0,0.0
atitlan,atitlan_689_1619,689,1619,344,0,0.0
atitlan,atitlan_689_1620,689,1620,104,1,0.9615384615384616
atitlan,atitlan_689_1621,689,1621,242,2,0.8264462809917356
atitlan,atitlan_689_1622,689,1622,463,2,0.4319654427645788
atitlan,atitlan_689_1623,689,1623,896,1,0.11160714285714286
atitlan,atitlan_689_1624,689,1624,1035,0,0.0
atitlan,atitlan_689_1625,689,1625,1107,0,0.0
atitlan,atitlan_689_1626,689,1626,980,0,0.0
atitlan,atitlan_689_1627,689,1627,986,0,0.0
atitlan,atitlan_689_1628,689,1628,685,0,0.0
atitlan,atitlan_689_1629,689,1629,129,2,1.550387596899225
atitlan,atitlan_690_1618,690,1618,182,0,0.0
atitlan,atitlan_690_1619,690,1619,246,3,1.2195121951219512
