alcance,lago,fecha,baja,alta,total,alta_pct
global,ambos,todas,3246759,172297,3419056,5.039314945411833
lago,amatitlan,todas,215849,161455,377304,42.79175412929627
lago,atitlan,todas,3030910,10842,3041752,0.35643931523674516
lago_fecha,amatitlan,2025-01-28,35052,7,35059,0.0199663424512963
lago_fecha,amatitlan,2025-04-15,8934,27362,36296,75.38571743442803
lago_fecha,amatitlan,2025-04-28,10395,24690,35085,70.37195382642155
lago_fecha,amatitlan,2025-11-24,34454,109,34563,0.3153661429852732
lago_fecha,amatitlan,2026-01-08,33375,35,33410,0.1047590541753965
lago_fecha,amatitlan,2026-02-02,33359,4,33363,0.0119893294967478
lago_fecha,amatitlan,2026-02-07,33445,15,33460,0.0448296473401075
lago_fecha,amatitlan,2026-03-29,8381,27396,35777,76.57433546692009
lago_fecha,amatitlan,2026-04-13,1666,34966,36632,95.45206376938197
lago_fecha,amatitlan,2026-04-28,773,28403,29176,97.35056210584042
lago_fecha,amatitlan,2026-06-19,16015,18468,34483,53.55682510222428
lago_fecha,atitlan,2025-01-18,134593,100,134693,0.0742429079462184
lago_fecha,atitlan,2025-04-13,306420,272,306692,0.0886883257470035
lago_fecha,atitlan,2025-05-13,305930,475,306405,0.1550235799024167
lago_fecha,atitlan,2025-07-17,292107,7696,299803,2.567019009149341
lago_fecha,atitlan,2025-11-21,252263,181,252444,0.0716990698927286
lago_fecha,atitlan,2025-12-29,282726,198,282924,0.0699834584552742
lago_fecha,atitlan,2026-02-12,240136,170,240306,0.0707431358351435
lago_fecha,atitlan,2026-03-24,305206,263,305469,0.0860971162376542
lago_fecha,atitlan,2026-04-13,304625,503,305128,0.1648488503185548
lago_fecha,atitlan,2026-04-28,305807,511,306318,0.1668201019855183
lago_fecha,atitlan,2026-07-22,301097,473,301570,0.1568458401034586
