lago,fecha,error,observaciones,porcentaje
amatitlan,2025-01-28,FN,3,0.03
amatitlan,2025-01-28,TN,9997,99.97
amatitlan,2025-04-15,FN,108,1.08
amatitlan,2025-04-15,FP,523,5.23
amatitlan,2025-04-15,TN,1949,19.49
amatitlan,2025-04-15,TP,7420,74.2
amatitlan,2025-04-28,FN,189,1.89
amatitlan,2025-04-28,FP,778,7.78
amatitlan,2025-04-28,TN,2141,21.41
amatitlan,2025-04-28,TP,6892,68.92
amatitlan,2025-11-24,FN,31,0.31
amatitlan,2025-11-24,FP,6,0.06
amatitlan,2025-11-24,TN,9955,99.55
amatitlan,2025-11-24,TP,8,0.08
amatitlan,2026-01-08,FN,8,0.08
amatitlan,2026-01-08,FP,4,0.04
amatitlan,2026-01-08,TN,9986,99.86
amatitlan,2026-01-08,TP,2,0.02
amatitlan,2026-02-02,FN,1,0.01
amatitlan,2026-02-02,TN,9999,99.99
amatitlan,2026-02-07,FN,2,0.02
amatitlan,2026-02-07,TN,9998,99.98
amatitlan,2026-03-29,FN,152,1.52
amatitlan,2026-03-29,FP,631,6.31
amatitlan,2026-03-29,TN,1676,16.76
amatitlan,2026-03-29,TP,7541,75.41
amatitlan,2026-04-13,FN,24,0.24
amatitlan,2026-04-13,FP,296,2.96
amatitlan,2026-04-13,TN,181,1.81
amatitlan,2026-04-13,TP,9499,94.99
amatitlan,2026-04-28,FN,75,0.75
amatitlan,2026-04-28,FP,62,0.62
amatitlan,2026-04-28,TN,209,2.09
amatitlan,2026-04-28,TP,9654,96.54
amatitlan,2026-06-19,FN,269,2.69
amatitlan,2026-06-19,FP,1272,12.72
amatitlan,2026-06-19,TN,3417,34.17
amatitlan,2026-06-19,TP,5042,50.42
atitlan,2025-01-18,FN,2,0.02
atitlan,2025-01-18,TN,9995,99.95
atitlan,2025-01-18,TP,3,0.03
atitlan,2025-04-13,FN,3,0.03
atitlan,2025-04-13,FP,5,0.05
atitlan,2025-04-13,TN,9985,99.85
atitlan,2025-04-13,TP,7,0.07
atitlan,2025-05-13,FN,2,0.02
atitlan,2025-05-13,FP,11,0.11
atitlan,2025-05-13,TN,9974,99.74
atitlan,2025-05-13,TP,13,0.13
atitlan,2025-07-17,FN,2,0.02
atitlan,2025-07-17,FP,9,0.09
atitlan,2025-07-17,TN,9730,97.3
atitlan,2025-07-17,TP,259,2.59
atitlan,2025-11-21,FN,3,0.03
atitlan,2025-11-21,TN,9993,99.93
atitlan,2025-11-21,TP,4,0.04
atitlan,2025-12-29,FN,4,0.04
atitlan,2025-12-29,FP,1,0.01
atitlan,2025-12-29,TN,9993,99.93
atitlan,2025-12-29,TP,2,0.02
atitlan,2026-02-12,FN,1,0.01
atitlan,2026-02-12,FP,1,0.01
atitlan,2026-02-12,TN,9995,99.95
atitlan,2026-02-12,TP,3,0.03
atitlan,2026-03-24,FP,3,0.03
atitlan,2026-03-24,TN,9992,99.92
atitlan,2026-03-24,TP,5,0.05
atitlan,2026-04-13,FN,2,0.02
atitlan,2026-04-13,FP,10,0.1
atitlan,2026-04-13,TN,9971,99.71
atitlan,2026-04-13,TP,17,0.17
atitlan,2026-04-28,FN,5,0.05
atitlan,2026-04-28,FP,20,0.2
atitlan,2026-04-28,TN,9960,99.6
atitlan,2026-04-28,TP,15,0.15
atitlan,2026-07-22,FN,3,0.03
atitlan,2026-07-22,FP,8,0.08
atitlan,2026-07-22,TN,9976,99.76
atitlan,2026-07-22,TP,13,0.13
