variable,tipo,faltantes,faltantes_pct,valores_unicos
lago,object,0,0.0,2
fecha,datetime64[ns],0,0.0,20
B02,float64,0,0.0,1112
B03,float64,0,0.0,1240
B04,float64,0,0.0,1089
B05,float64,0,0.0,1404
B06,float64,0,0.0,1366
B07,float64,0,0.0,1413
B08,float64,0,0.0,1131
B8A,float64,0,0.0,1359
B11,float64,0,0.0,1137
B12,float64,0,0.0,933
NDVI,float64,0,0.0,54556
NDWI,float64,0,0.0,69257
CYA,float64,0,0.0,191597
x_utm,float64,0,0.0,1370
y_utm,float64,0,0.0,1140
longitud,float64,0,0.0,129050
latitud,float64,0,0.0,129050
x_normalizada,float64,0,0.0,1369
y_normalizada,float64,0,0.0,1140
dia_anio_sin,float64,0,0.0,18
dia_anio_cos,float64,0,0.0,18
cya_alta,int64,0,0.0,2
bloque_x,int64,0,0.0,29
bloque_y,int64,0,0.0,25
bloque_1km,object,0,0.0,203
