variable,importancia_media,importancia_sd,modelo
B05,0.26630801476630844,0.004649391638267511,Gradient Boosting
B08,0.008425620013022139,0.0005864110586586038,Gradient Boosting
y_normalizada,0.0053877447949740144,8.028348954253203e-05,Gradient Boosting
dia_anio_cos,0.003593169818706854,0.0001106798286877487,Gradient Boosting
x_normalizada,0.002897816905407802,5.67549398528014e-05,Gradient Boosting
B12,0.00228584698797587,0.00014088023677527305,Gradient Boosting
dia_anio_sin,0.0013354274208141393,6.208024555195509e-05,Gradient Boosting
B11,0.0008704254293916191,7.97335173888837e-05,Gradient Boosting
B07,0.00021714321840409222,4.3074560597161345e-05,Gradient Boosting
B06,0.00017865622228889765,3.686330149130466e-05,Gradient Boosting
B8A,0.00012500105105559545,2.0882880086816054e-05,Gradient Boosting
