lago,fecha,filas_raster,columnas_raster,pixeles_totales,observaciones_validas,observaciones_invalidas,cobertura_valida_pct,crs,resolucion_x_m,resolucion_y_m
amatitlan,2025-01-28,390,449,175110,35059,140051,20.021129575695277,EPSG:32615,20.0,20.0
amatitlan,2025-04-15,390,449,175110,36296,138814,20.7275426874536,EPSG:32615,20.0,20.0
amatitlan,2025-04-28,390,449,175110,35085,140025,20.03597738564331,EPSG:32615,20.0,20.0
amatitlan,2025-11-24,390,449,175110,34563,140547,19.737879047455884,EPSG:32615,20.0,20.0
amatitlan,2026-01-08,390,449,175110,33410,141700,19.079435783221975,EPSG:32615,20.0,20.0
amatitlan,2026-02-02,390,449,175110,33363,141747,19.052595511392838,EPSG:32615,20.0,20.0
amatitlan,2026-02-07,390,449,175110,33460,141650,19.10798926389127,EPSG:32615,20.0,20.0
amatitlan,2026-03-29,390,449,175110,35777,139333,20.43115755810633,EPSG:32615,20.0,20.0
amatitlan,2026-04-13,390,449,175110,36632,138478,20.919422077551253,EPSG:32615,20.0,20.0
amatitlan,2026-04-28,390,449,175110,29176,145934,16.661527040146193,EPSG:32615,20.0,20.0
amatitlan,2026-06-19,390,449,175110,34483,140627,19.692193478385015,EPSG:32615,20.0,20.0
atitlan,2025-01-18,756,929,702324,134693,567631,19.178185566775447,EPSG:32615,20.0,20.0
atitlan,2025-04-13,756,929,702324,306692,395632,43.668164550834085,EPSG:32615,20.0,20.0
atitlan,2025-05-13,756,929,702324,306405,395919,43.627300220411094,EPSG:32615,20.0,20.0
atitlan,2025-07-17,756,929,702324,299803,402521,42.68727823625563,EPSG:32615,20.0,20.0
atitlan,2025-11-21,756,929,702324,252444,449880,35.9440941787551,EPSG:32615,20.0,20.0
atitlan,2025-12-29,756,929,702324,282924,419400,40.28397150033318,EPSG:32615,20.0,20.0
atitlan,2026-02-12,756,929,702324,240306,462018,34.21583200915816,EPSG:32615,20.0,20.0
atitlan,2026-03-24,756,929,702324,305469,396855,43.49402839715003,EPSG:32615,20.0,20.0
atitlan,2026-04-13,756,929,702324,305128,397196,43.445475307692746,EPSG:32615,20.0,20.0
atitlan,2026-04-28,756,929,702324,306318,396006,43.61491277530029,EPSG:32615,20.0,20.0
atitlan,2026-07-22,756,929,702324,301570,400754,42.93887151798885,EPSG:32615,20.0,20.0
