modelo,validacion,fold,n,prevalencia_alta,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
Regresion logistica,aleatoria_70_30,test,66000,0.21493939393939393,0.9670151515151515,0.8738093755836395,0.9894261948399831,0.9280306787001223,0.9948232107829483,49787,2027,150,14036
Random Forest,aleatoria_70_30,test,66000,0.21493939393939393,0.9837575757575757,0.9520198538535778,0.9734949950655576,0.9626376690366653,0.9986780206250327,51118,696,376,13810
Gradient Boosting,aleatoria_70_30,test,66000,0.21493939393939393,0.9810454545454546,0.9295914978412487,0.9865360214295784,0.9572176054170514,0.9987186058553605,50754,1060,191,13995
Regresion logistica,espacial_groupkfold,1,44004,0.21070811744386875,0.9669120989001,0.8744729781525489,0.984253666954271,0.9261213720316622,0.994964694904814,33422,1310,146,9126
Random Forest,espacial_groupkfold,1,44004,0.21070811744386875,0.9828197436596673,0.9576526225279449,0.9609577221742882,0.9593023255813954,0.9980883155520834,34338,394,362,8910
Gradient Boosting,espacial_groupkfold,1,44004,0.21070811744386875,0.9770475411326243,0.9177791262135923,0.9787532355478861,0.947286012526096,0.9981391438617822,33919,813,197,9075
Regresion logistica,espacial_groupkfold,2,43998,0.23505613891540525,0.970521387335788,0.8943926048661376,0.9916843937342874,0.9405291393461415,0.9956982374643617,32445,1211,86,10256
Random Forest,espacial_groupkfold,2,43998,0.23505613891540525,0.98145370244102,0.9473980837873379,0.975246567395088,0.9611206403659234,0.9983170485603439,33096,560,256,10086
Gradient Boosting,espacial_groupkfold,2,43998,0.23505613891540525,0.9779308150370472,0.9208658941884488,0.9912976213498356,0.9547846332945286,0.9982875875621835,32775,881,90,10252
Regresion logistica,espacial_groupkfold,3,44004,0.21809380965366784,0.9722297972911553,0.8944889307583608,0.989371678649578,0.9395408668117949,0.9951685439865641,33287,1120,102,9495
Random Forest,espacial_groupkfold,3,44004,0.21809380965366784,0.9852058903736024,0.9657434402332361,0.9664478482859227,0.966095515858549,0.9987381844965593,34078,329,322,9275
Gradient Boosting,espacial_groupkfold,3,44004,0.21809380965366784,0.9840696300336333,0.9448,0.9844743148900699,0.9642292187579732,0.9987707401309055,33855,552,149,9448
Regresion logistica,espacial_groupkfold,4,43997,0.20724140282291975,0.9659976816601132,0.8665833012697192,0.9880456240403598,0.923337091319053,0.9939309911196706,33492,1387,109,9009
Random Forest,espacial_groupkfold,4,43997,0.20724140282291975,0.9804986703638885,0.951958853140731,0.954046940118447,0.9530017528483786,0.9977445668857979,34440,439,419,8699
Gradient Boosting,espacial_groupkfold,4,43997,0.20724140282291975,0.9819533149987499,0.9393075786362677,0.9759815749067778,0.9572934595524957,0.9980804679048322,34304,575,219,8899
Regresion logistica,espacial_groupkfold,5,43997,0.2036275200581858,0.9577471191217583,0.8406255996929572,0.9778993191204376,0.9040813167535214,0.9935666550183605,33377,1661,198,8761
Random Forest,espacial_groupkfold,5,43997,0.2036275200581858,0.978884923972089,0.9388937472671622,0.9587007478513226,0.9486938752968466,0.9977123190492505,34479,559,370,8589
Gradient Boosting,espacial_groupkfold,5,43997,0.2036275200581858,0.9760665499920449,0.91418692372171,0.9738810135059717,0.9430903096795115,0.9976293609462177,34219,819,234,8725
Regresion logistica,temporal_ultima_fecha,test,20000,0.26635,0.86995,0.6874312431243125,0.9384268819222827,0.7935550440511152,0.9590067283820002,12400,2273,328,4999
Random Forest,temporal_ultima_fecha,test,20000,0.26635,0.77645,0.9919540229885058,0.1620048807959452,0.278521865418751,0.9034218217961268,14666,7,4464,863
Gradient Boosting,temporal_ultima_fecha,test,20000,0.26635,0.8495,0.8164435946462715,0.5611038107752957,0.6651090342679128,0.9079784493114402,14001,672,2338,2989
Regresion logistica,entre_lagos,atitlan_a_amatitlan,110000,0.42654545454545456,0.7998363636363637,0.6911069499017681,0.9596547314578006,0.803537011920908,0.930041047552709,42955,20125,1893,45027
Random Forest,entre_lagos,atitlan_a_amatitlan,110000,0.42654545454545456,0.7231636363636363,0.9644106034968979,0.36442881500426255,0.5289713843774169,0.9378714175249929,62449,631,29821,17099
Gradient Boosting,entre_lagos,atitlan_a_amatitlan,110000,0.42654545454545456,0.8103545454545454,0.8650640217421759,0.6580349531116795,0.7474791492658363,0.869478252389015,58264,4816,16045,30875
Regresion logistica,entre_lagos,amatitlan_a_atitlan,110000,0.0033454545454545456,0.9975363636363637,0.5804311774461028,0.9510869565217391,0.7209062821833162,0.998008455957004,109379,253,18,350
Random Forest,entre_lagos,amatitlan_a_atitlan,110000,0.0033454545454545456,0.9975181818181819,0.5803722504230119,0.9320652173913043,0.7153284671532847,0.9939661901515584,109384,248,25,343
Gradient Boosting,entre_lagos,amatitlan_a_atitlan,110000,0.0033454545454545456,0.9958090909090909,0.4409148665819568,0.9429347826086957,0.6008658008658009,0.9990493145844438,109192,440,21,347
