modelo,validacion,accuracy,precision,recall,f1,roc_auc,folds,n_evaluaciones
Gradient Boosting,aleatoria_70_30,0.9810454545454546,0.9295914978412487,0.9865360214295784,0.9572176054170514,0.9987186058553605,1,66000
Gradient Boosting,entre_lagos,0.9030818181818181,0.6529894441620663,0.8004848678601876,0.6741724750658186,0.9342637834867293,2,220000
Gradient Boosting,espacial_groupkfold,0.97941357023882,0.9273879045520037,0.9808775520401081,0.9533367267621209,0.9981814600811841,5,220000
Gradient Boosting,temporal_ultima_fecha,0.8495,0.8164435946462715,0.5611038107752957,0.6651090342679128,0.9079784493114402,1,20000
Random Forest,aleatoria_70_30,0.9837575757575757,0.9520198538535778,0.9734949950655576,0.9626376690366653,0.9986780206250327,1,66000
Random Forest,entre_lagos,0.8603409090909091,0.7723914269599549,0.6482470161977835,0.6221499257653508,0.9659188038382757,2,220000
Random Forest,espacial_groupkfold,0.9817725861620534,0.9523293493912824,0.9630799651650136,0.9576428219902186,0.998120086908807,5,220000
Random Forest,temporal_ultima_fecha,0.77645,0.9919540229885058,0.1620048807959452,0.278521865418751,0.9034218217961268,1,20000
Regresion logistica,aleatoria_70_30,0.9670151515151515,0.8738093755836395,0.9894261948399831,0.9280306787001223,0.9948232107829483,1,66000
Regresion logistica,entre_lagos,0.8986863636363637,0.6357690636739355,0.9553708439897699,0.7622216470521122,0.9640247517548566,2,220000
Regresion logistica,espacial_groupkfold,0.966681616861783,0.8741126829479449,0.9862509364997868,0.9267219572524347,0.9946658244987543,5,220000
Regresion logistica,temporal_ultima_fecha,0.86995,0.6874312431243125,0.9384268819222827,0.7935550440511152,0.9590067283820002,1,20000
